Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
351,120,RL,68.0,7820,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2007,2007,Hip,CompShg,MetalSd,MetalSd,Ex,TA,PConc,0,0,1869,1869,GasA,Ex,Y,1869,0,0,1869,0,0,2,0,2,1,Ex,6,Typ,1,2,617,Y,210,54,0,0,0,0,0,12,2007,New,Partial,318061
352,120,RL,70.04995836802665,5271,Pave,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,5,1986,1986,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,1082,0,371,1453,GasA,Gd,Y,1453,0,0,1453,1,0,1,1,2,1,Gd,6,Typ,1,2,445,Y,0,80,0,0,184,0,0,12,2006,WD,Abnorml,190000
353,50,RL,60.0,9084,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,1.5Fin,5,6,1941,1950,Gable,CompShg,VinylSd,VinylSd,TA,TA,CBlock,236,380,0,616,GasA,TA,N,616,495,0,1111,0,1,1,0,3,1,TA,5,Typ,0,1,200,Y,48,0,0,0,0,0,0,3,2008,ConLw,Normal,95000
354,30,RM,60.0,8520,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,8,1928,2003,Gable,CompShg,VinylSd,VinylSd,TA,Gd,BrkTil,0,0,624,624,GasA,Gd,Y,720,0,0,720,0,0,1,0,2,1,TA,5,Typ,0,2,484,Y,106,0,0,0,0,0,0,5,2010,WD,Normal,105900
355,50,RL,60.0,8400,Pave,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6,5,1940,2000,Gable,CompShg,Wd Sdng,MetalSd,TA,TA,CBlock,388,0,552,940,GasA,Ex,Y,1192,403,0,1595,0,0,1,0,2,1,TA,6,Typ,2,1,240,Y,0,0,108,0,0,0,0,6,2006,WD,Normal,140000
356,20,RL,105.0,11249,Pave,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,6,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,Gd,Gd,PConc,334,544,322,1200,GasA,Ex,Y,1200,0,0,1200,1,0,2,0,3,1,Gd,6,Typ,0,2,521,Y,0,26,0,0,0,0,0,8,2007,WD,Normal,177500
357,20,RL,70.04995836802665,9248,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,6,1992,1992,Gable,CompShg,HdBoard,HdBoard,TA,TA,PConc,560,0,598,1158,GasA,Gd,Y,1167,0,0,1167,1,0,2,0,3,1,Gd,6,Typ,0,2,400,Y,120,26,0,0,0,0,0,7,2009,WD,Normal,173000
358,120,RM,44.0,4224,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,5,1976,1976,Gable,CompShg,CemntBd,CmentBd,TA,TA,PConc,874,0,268,1142,GasA,TA,Y,1142,0,0,1142,1,0,1,1,3,1,TA,6,Typ,1,2,528,Y,536,90,0,0,0,0,0,8,2007,WD,Normal,134000
359,80,RL,92.0,6930,Pave,IR1,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,SLvl,5,4,1958,1958,Hip,CompShg,Wd Sdng,ImStucc,TA,TA,CBlock,300,294,468,1062,GasA,Ex,Y,1352,0,0,1352,0,1,1,0,3,1,Gd,6,Min2,0,1,288,Y,168,0,294,0,0,0,0,7,2006,WD,Abnorml,130000
360,60,RL,78.0,12011,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,956,0,130,1086,GasA,Ex,Y,1086,838,0,1924,1,0,2,1,3,1,Gd,7,Typ,1,2,592,Y,208,75,0,0,374,0,0,6,2006,WD,Normal,280000
361,85,RL,70.04995836802665,7540,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,6,6,1978,1978,Gable,CompShg,VinylSd,VinylSd,TA,TA,CBlock,773,0,115,888,GasA,Ex,Y,912,0,0,912,1,0,1,0,2,1,TA,5,Typ,1,2,470,Y,0,0,0,0,192,0,0,6,2007,WD,Normal,156000
362,50,RL,70.04995836802665,9144,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1940,1982,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,399,0,484,883,GasA,Gd,Y,988,517,0,1505,1,0,1,0,3,1,TA,8,Typ,0,1,240,N,0,0,0,0,0,0,0,7,2008,WD,Normal,145000
363,85,RL,64.0,7301,Pave,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,Gd,TA,Slab,0,0,0,0,GasA,Ex,Y,495,1427,0,1922,0,0,3,0,4,1,Gd,7,Typ,1,2,672,Y,0,0,177,0,0,0,0,7,2009,ConLD,Normal,198500
364,160,RM,21.0,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,8,1972,2007,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,162,0,321,483,GasA,Gd,Y,483,504,0,987,0,0,1,1,2,1,Gd,5,Typ,0,1,264,Y,250,0,0,0,0,0,0,5,2009,WD,Normal,118000
365,60,RL,70.04995836802665,18800,Pave,IR1,Lvl,AllPub,FR2,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,5,1976,1976,Gable,CompShg,HdBoard,HdBoard,TA,TA,PConc,712,0,84,796,GasA,TA,Y,790,784,0,1574,1,0,2,1,3,1,TA,6,Typ,1,2,566,Y,306,111,0,0,0,0,0,7,2006,WD,Normal,190000
366,70,RM,59.0,10690,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,5,7,1920,1997,Hip,CompShg,VinylSd,VinylSd,TA,Gd,CBlock,456,0,216,672,GasA,Gd,Y,672,672,0,1344,0,0,1,0,3,1,TA,6,Typ,0,1,468,Y,0,128,218,0,0,0,0,7,2009,WD,Normal,147000
367,20,RL,70.04995836802665,9500,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,TA,TA,CBlock,609,0,785,1394,GasA,Gd,Y,1394,0,0,1394,1,0,1,1,3,1,TA,6,Typ,2,2,514,Y,0,76,0,0,185,0,0,7,2009,WD,Normal,159000
368,80,RL,101.0,9150,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,5,1962,1962,Gable,Tar&Grv,Plywood,Plywood,TA,TA,CBlock,371,0,728,1099,GasA,Gd,Y,1431,0,0,1431,0,1,1,0,3,1,TA,6,Typ,1,1,296,Y,64,110,0,0,0,0,0,12,2008,WD,Normal,165000
369,20,RL,78.0,7800,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1954,Gable,CompShg,HdBoard,HdBoard,TA,TA,PConc,540,0,728,1268,GasA,Gd,Y,1268,0,0,1268,0,0,1,0,2,1,TA,7,Typ,1,1,244,Y,0,98,0,0,0,0,0,3,2010,WD,Normal,132000
370,20,RL,70.04995836802665,9830,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1959,2006,Gable,CompShg,Wd Sdng,Wd Sdng,TA,Gd,CBlock,72,258,733,1063,GasA,Ex,Y,1287,0,0,1287,1,0,1,0,3,1,Gd,7,Typ,1,2,576,Y,364,17,0,0,182,0,0,3,2010,WD,Normal,162000
371,60,RL,70.04995836802665,8121,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,0,0,953,953,GasA,Ex,Y,953,711,0,1664,0,0,2,1,3,1,TA,7,Typ,1,2,460,Y,100,40,0,0,0,0,0,1,2006,WD,Normal,172400
372,50,RL,80.0,17120,Pave,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Feedr,Norm,1Fam,1.5Fin,4,4,1959,1959,Gable,CompShg,WdShing,Plywood,TA,TA,CBlock,0,0,0,0,GasA,TA,Y,1120,468,0,1588,0,0,2,0,4,1,TA,7,Min2,1,2,680,N,0,59,0,0,0,0,0,7,2008,WD,Normal,134432
373,120,RL,50.0,7175,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1984,1984,Gable,CompShg,Plywood,Plywood,TA,TA,CBlock,623,121,0,744,GasA,TA,Y,752,0,0,752,1,0,1,0,2,1,TA,4,Typ,0,1,264,Y,353,0,0,0,90,0,0,2,2010,WD,Normal,125000
374,20,RL,79.0,10634,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1953,1953,Gable,CompShg,MetalSd,MetalSd,TA,TA,PConc,428,180,0,608,GasA,TA,Y,1319,0,0,1319,1,0,1,0,3,1,TA,5,Min2,0,1,270,Y,66,0,0,0,0,0,0,11,2009,WD,Normal,123000
375,60,RL,65.0,8200,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,847,847,GasA,Ex,Y,847,1081,0,1928,0,0,2,1,4,1,Gd,8,Typ,1,2,434,Y,100,48,0,0,0,0,0,7,2007,WD,Normal,219500
376,30,RL,70.04995836802665,10020,Pave,IR1,Low,AllPub,Inside,Sev,Edwards,Norm,Norm,1Fam,1Story,1,1,1922,1950,Gable,CompShg,Wd Sdng,Wd Sdng,Fa,Fa,BrkTil,350,0,333,683,GasA,Gd,N,904,0,0,904,1,0,0,1,1,1,Fa,4,Maj1,0,0,0,Y,0,0,0,0,0,0,0,3,2009,WD,Normal,61000
377,85,RL,57.0,8846,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,5,5,1996,1996,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,298,0,572,870,GasA,Ex,Y,914,0,0,914,0,0,1,0,2,1,TA,5,Typ,0,2,576,Y,0,0,0,0,0,0,0,7,2006,WD,Normal,148000
378,60,FV,102.0,11143,Pave,IR1,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,CemntBd,CmentBd,Gd,TA,PConc,0,0,1580,1580,GasA,Ex,Y,1580,886,0,2466,0,0,3,0,4,1,Gd,8,Typ,1,2,610,Y,159,214,0,0,0,0,0,12,2007,WD,Normal,340000
379,20,RL,88.0,11394,Pave,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1445,0,411,1856,GasA,Ex,Y,1856,0,0,1856,1,0,1,1,1,1,Ex,8,Typ,1,3,834,Y,113,0,0,0,0,0,0,6,2010,New,Partial,394432
380,60,RL,60.0,8123,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,0,0,982,982,GasA,Ex,Y,1007,793,0,1800,0,0,2,1,3,1,TA,7,Typ,1,2,463,Y,100,63,0,0,0,0,0,6,2009,WD,Normal,179000
381,50,RL,50.0,5000,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,5,6,1924,1950,Gable,CompShg,BrkFace,Wd Sdng,TA,TA,BrkTil,218,0,808,1026,GasA,TA,Y,1026,665,0,1691,0,0,2,0,3,1,Gd,6,Typ,1,1,308,Y,0,0,242,0,0,0,0,5,2010,WD,Normal,127000
382,20,FV,60.0,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1293,1293,GasA,Ex,Y,1301,0,0,1301,1,0,2,0,2,1,Gd,5,Typ,1,2,572,Y,216,121,0,0,0,0,0,8,2006,New,Partial,187750
383,60,RL,79.0,9245,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,939,939,GasA,Ex,Y,939,858,0,1797,0,0,2,1,3,1,Gd,8,Typ,0,2,639,Y,144,53,0,0,0,0,0,4,2007,WD,Normal,213500
384,45,RH,60.0,9000,Pave,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1.5Unf,6,3,1928,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,0,0,784,784,GasA,TA,N,784,0,0,784,0,0,1,0,2,1,TA,5,Typ,0,2,360,N,0,0,91,0,0,0,0,10,2009,WD,Normal,76000
385,60,RL,70.04995836802665,53107,Pave,IR2,Low,AllPub,Corner,Mod,ClearCr,Feedr,Norm,1Fam,2Story,6,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,Gd,TA,PConc,985,0,595,1580,GasA,Ex,Y,1079,874,0,1953,1,0,2,1,3,1,Gd,9,Typ,2,2,501,Y,216,231,0,0,0,0,0,6,2007,WD,Normal,240000
386,120,RL,43.0,3182,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,24,0,1232,1256,GasA,Ex,Y,1269,0,0,1269,0,0,2,0,2,1,Gd,6,Typ,1,2,430,Y,146,20,0,0,144,0,0,4,2010,WD,Normal,192000
387,50,RL,58.0,8410,Pave,Reg,Lvl,AllPub,FR2,Gtl,Edwards,Feedr,Norm,1Fam,1.5Fin,5,3,1910,1996,Gambrel,CompShg,Wd Sdng,VinylSd,TA,Fa,PConc,0,0,658,658,GasA,TA,Y,658,526,0,1184,0,0,1,0,5,1,TA,8,Typ,0,0,0,N,0,151,0,0,0,0,0,5,2006,WD,AdjLand,81000
388,80,RL,72.0,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,SLvl,6,6,1976,1976,Hip,CompShg,MetalSd,MetalSd,TA,TA,CBlock,631,0,410,1041,GasA,Ex,Y,1125,0,0,1125,1,0,1,0,3,1,TA,6,Typ,1,1,352,Y,296,0,0,0,0,0,0,10,2009,WD,Abnorml,125000
389,20,RL,93.0,9382,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,2000,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1468,1468,GasA,Ex,Y,1479,0,0,1479,0,0,2,0,3,1,Gd,6,Typ,0,2,577,Y,120,25,0,0,0,0,0,7,2008,WD,Normal,191000
390,60,RL,96.0,12474,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,10,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Ex,TA,PConc,1280,0,402,1682,GasA,Ex,Y,1742,590,0,2332,1,0,2,1,3,1,Ex,9,Typ,1,3,846,Y,196,134,0,0,0,0,0,8,2008,New,Partial,426000
391,50,RL,50.0,8405,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,8,1900,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,241,391,229,861,GasA,Ex,Y,961,406,0,1367,1,0,1,0,4,1,TA,7,Typ,0,1,384,Y,0,130,112,0,0,0,0,4,2008,WD,Normal,119000
392,60,RL,71.0,12209,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,2Story,6,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,690,0,114,804,GasA,Ex,Y,804,1157,0,1961,1,0,2,1,3,1,Gd,7,Typ,1,2,560,Y,125,192,0,0,0,0,0,6,2009,WD,Normal,215000
393,20,RL,70.04995836802665,8339,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1959,1959,Gable,CompShg,MetalSd,MetalSd,TA,TA,Slab,0,0,0,0,GasA,TA,Y,882,0,0,882,0,0,1,0,3,1,TA,5,Typ,0,1,294,Y,0,0,0,0,0,0,1200,7,2007,WD,Normal,106500
394,30,RL,70.04995836802665,7446,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Feedr,Norm,1Fam,1Story,4,5,1941,1950,Gable,CompShg,WdShing,Wd Shng,TA,TA,CBlock,266,0,522,788,GasA,TA,Y,788,0,0,788,0,0,1,0,2,1,TA,4,Typ,2,0,0,Y,0,0,0,0,0,0,0,4,2006,WD,Abnorml,100000
395,50,RL,60.0,10134,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,6,1940,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,0,0,735,735,GasA,Gd,Y,735,299,0,1034,0,0,1,0,2,1,TA,5,Typ,0,1,240,Y,0,39,0,0,0,0,0,7,2007,WD,Normal,109000
396,20,RL,68.0,9571,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,739,0,405,1144,GasA,TA,Y,1144,0,0,1144,1,0,1,0,3,1,TA,6,Typ,0,1,596,Y,44,0,0,0,0,0,0,6,2010,WD,Normal,129000
397,20,RL,60.0,7200,Pave,Reg,Low,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1972,1972,Hip,CompShg,MetalSd,MetalSd,TA,TA,CBlock,777,0,117,894,GasA,TA,Y,894,0,0,894,0,0,1,0,2,1,TA,6,Typ,0,2,600,Y,215,0,0,0,0,0,0,9,2009,WD,Normal,123000
398,60,RL,69.0,7590,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosN,Norm,1Fam,2Story,5,5,1962,1962,Gable,CompShg,VinylSd,VinylSd,TA,TA,CBlock,540,0,324,864,GasA,TA,Y,876,936,0,1812,0,0,2,0,4,1,TA,8,Typ,1,1,264,Y,0,168,0,0,0,0,0,7,2007,WD,Normal,169500
399,30,RM,60.0,8967,Pave,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,2,1920,1950,Gable,CompShg,MetalSd,MetalSd,TA,Fa,BrkTil,0,0,961,961,GasA,Gd,Y,1077,0,0,1077,0,0,1,0,2,1,TA,6,Maj2,0,1,338,N,0,0,0,0,0,0,0,11,2007,WD,Abnorml,67000
400,60,FV,65.0,8125,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,CemntBd,CmentBd,Gd,TA,PConc,812,0,280,1092,GasA,Ex,Y,1112,438,0,1550,1,0,2,0,2,1,Gd,7,Typ,0,2,438,Y,0,168,0,0,0,0,0,10,2009,WD,Normal,241000
401,120,RL,38.0,14963,Pave,IR2,Lvl,AllPub,Inside,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1996,1996,Gable,CompShg,BrkFace,BrkFace,Gd,TA,PConc,786,0,474,1260,GasA,Ex,Y,1288,0,0,1288,1,0,1,1,1,1,Ex,4,Typ,2,2,500,Y,120,30,0,0,224,0,0,12,2008,WD,Normal,245500
402,20,RL,65.0,8767,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,24,0,1286,1310,GasA,Ex,Y,1310,0,0,1310,0,0,2,0,3,1,Gd,6,Typ,1,2,400,Y,0,0,0,0,0,0,0,7,2006,New,Partial,164990
403,30,RL,60.0,10200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1940,1997,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,0,0,672,672,GasA,Ex,Y,672,0,0,672,0,0,1,0,2,1,TA,4,Typ,0,1,240,N,168,0,0,0,0,0,0,8,2008,WD,Normal,108000
404,60,RL,93.0,12090,Pave,Reg,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1141,1141,GasA,Gd,Y,1165,1098,0,2263,0,0,2,1,4,1,Gd,10,Typ,1,2,420,Y,144,123,0,0,0,0,0,7,2006,WD,Abnorml,258000
405,60,RL,70.04995836802665,10364,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1995,1996,Gable,CompShg,MetalSd,MetalSd,TA,TA,PConc,0,0,806,806,GasA,Gd,Y,806,766,0,1572,0,0,2,1,3,1,TA,7,Typ,1,2,373,Y,0,40,0,0,0,0,0,5,2007,WD,Normal,168000
406,20,RL,70.04995836802665,9991,Pave,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,4,4,1976,1993,Gable,CompShg,Plywood,Plywood,TA,TA,CBlock,1116,0,165,1281,GasA,Ex,Y,1620,0,0,1620,1,0,2,0,3,1,TA,8,Min1,1,2,490,Y,120,78,0,0,0,0,0,6,2009,WD,Normal,150000
407,50,RL,51.0,10480,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6,5,1936,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,0,0,1064,1064,GasA,Ex,Y,1166,0,473,1639,0,0,1,0,3,1,TA,6,Maj2,0,1,240,Y,0,0,0,0,0,0,0,3,2008,WD,Normal,115000
408,70,RL,63.0,15576,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,6,7,1915,1976,Gable,CompShg,Wd Sdng,Plywood,TA,TA,BrkTil,0,0,840,840,GasA,Ex,Y,840,840,0,1680,0,0,2,0,4,1,TA,8,Typ,0,1,308,Y,0,0,160,0,0,0,0,3,2008,WD,Normal,177000
409,60,RL,109.0,14154,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,0,0,1063,1063,GasA,Ex,Y,1071,1101,0,2172,0,0,2,1,3,1,Gd,9,Typ,1,3,947,Y,192,62,0,0,0,0,0,8,2007,New,Partial,280000
410,60,FV,85.0,10800,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,789,0,245,1034,GasA,Ex,Y,1050,1028,0,2078,1,0,2,1,3,1,Ex,8,Typ,1,3,836,Y,0,102,0,0,0,0,0,4,2008,New,Partial,339750
411,20,RL,68.0,9571,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,3,1958,1958,Gable,CompShg,BrkComm,Brk Cmn,TA,Fa,CBlock,0,0,1276,1276,GasA,TA,Y,1276,0,0,1276,0,0,1,0,3,1,TA,5,Mod,0,1,350,Y,0,0,0,0,0,0,0,6,2009,COD,Abnorml,60000
412,190,RL,100.0,34650,Pave,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,1056,0,0,1056,GasA,TA,N,1056,0,0,1056,1,0,1,0,3,1,TA,5,Typ,0,2,572,Y,264,0,0,0,0,0,0,1,2006,WD,Normal,145000
413,20,FV,70.04995836802665,4403,Pave,IR2,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2009,2009,Gable,CompShg,MetalSd,MetalSd,Ex,TA,PConc,578,0,892,1470,GasA,Ex,Y,1478,0,0,1478,1,0,2,1,2,1,Gd,7,Typ,1,2,484,Y,0,144,0,0,0,0,0,6,2010,New,Partial,222000
414,30,RM,56.0,8960,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,6,1927,1950,Gable,CompShg,WdShing,Wd Shng,TA,TA,CBlock,0,0,1008,1008,GasA,Gd,Y,1028,0,0,1028,0,0,1,0,2,1,TA,5,Typ,1,2,360,Y,0,0,130,0,0,0,0,3,2010,WD,Normal,115000
415,60,RL,59.0,11228,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1993,1993,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,50,531,499,1080,GasA,Ex,Y,1080,1017,0,2097,0,1,2,1,3,1,Gd,9,Typ,1,3,678,Y,196,187,0,0,0,0,0,12,2008,WD,Normal,228000
416,20,RL,73.0,8899,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,24,0,1316,1340,GasA,Ex,Y,1340,0,0,1340,0,0,2,0,3,1,Gd,6,Typ,0,2,396,Y,100,30,0,0,0,0,0,8,2007,New,Partial,181134
417,60,RL,74.0,7844,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,7,1978,1978,Hip,CompShg,HdBoard,HdBoard,TA,TA,CBlock,209,0,463,672,GasA,TA,Y,672,728,0,1400,0,0,1,1,3,1,TA,6,Typ,1,2,440,Y,0,0,0,0,0,0,0,3,2006,WD,Normal,149500
418,70,RL,86.0,22420,Pave,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Feedr,Norm,1Fam,2Story,6,6,1918,1950,Hip,CompShg,Wd Sdng,Stucco,TA,TA,BrkTil,1128,0,242,1370,GasW,TA,N,1370,1254,0,2624,1,0,2,1,4,1,TA,10,Typ,1,3,864,N,0,0,0,0,0,0,0,11,2007,WD,Normal,239000
419,50,RL,60.0,8160,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,6,1940,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,312,0,444,756,GasA,Fa,N,756,378,0,1134,1,0,1,1,3,1,TA,7,Typ,0,1,240,P,0,0,0,0,0,0,0,4,2007,WD,AdjLand,126000
